AW08ÇÃéûì_Ç≈ÇÃéÊà¯èÛãµ	ç≈êVéÊà¯ÉVÅ[ÉYÉì	OBICä«óùÇÃÉuÉâÉìÉhó™èÃ	OBICä«óùÇÃÉuÉâÉìÉhCode	éÊçûópÉuÉâÉìÉhCode	BrandñºèÃ	Brand èZèä	Brand ìsés	Brand óXï÷î‘çÜ	Brand çëñº	Brand çëcd	tel	fax	Mobile	íSìñé“	íSìñé“EMAIL	âÔé–ñº	Shipperñº	Shipper çëñº	Shipper çëcd	í â›	éxï•èåèÅiBulkÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢	éxï•èåè îıçl	éxï•Ç¢ó\íËã‡äzéZèoï˚ñ@			éxï•èåèÅiSampleÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢																âﬂãéÇÃèÓïÒ		
continue		COR	50	50	CORSIA	"Corso Mazzini, 187"	Faenza (RA)	48018 	ITALY	ITA	39.02.83242462/39.0546.681696	39.0546.681696		Katia	katia@montanarishowroom.it	DIESIS SNC	DIESIS SNC	ITALY	ITA	EUR	30% at proforma invoice 70% 30days after shipment date	31	3.00%	excluded		ETD	30	70				excluded	BAG	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1132	30% proforma / 70% 30days after invoice date	*
*	SS08	HPBQ	261	3004	D'AMBRA	"Via Leonardo Da Vinci, 32/34,"	Sant'elpidio a Mare (AP)	63011	ITALY	ITA	39.07.34863029	39.07.348691271		Elsa Ribichini	eribichini@d-ambra.it	Pierre Fashion Group srl		ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0				excluded	SHOES	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1436	"30% deposit at proforma, 70% before delivery"	*
continue		DDM	162	162	DANIELA DE MARCHI	"Via dei Piatti, 6"	Milano	20123	ITALY	ITA	39.02.8699.5040	39.02.8691.8335	39.0335.5369327	Daniela/Nadia	info@danielademarchi.it	DANIELA DE MARCHI	DANIELA DE MARCHI	ITALY	ITA	EUR	30% at proforma invoice 70% 30days after shipment date	31	8.00%	excluded	"more than 50pcs-8% on new priduction, more than 20pcs-5% on new production"	ETD	30	70	100% 30days after shipment date 	7	0.00%	excluded	ACC	Showroom	Kioku					Tomoko Mori	sample05	Tomoko Mori	sample05	tomoko_mori@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	979	"30%proforma/70%30days after invoice date(more than 50pcs-8% on new priduction, more than 20pcs-5% on new production)"	30days after invoice date
continue				2133	D'ARGENTAT				FRANCE	FRA	33.(0)5.55.28.13.42	33.(0)5.55.28.10.24		M.  Lapeyre	dargentat@wanadoo.fr	D'ARGENTAT	D'ARGENTAT	FRANCE	FRA	EUR	100% at proforma invoice 	14	3.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1181	100% on Proforma	*
*	SS08	HPBQ	261	3005	DAVID & MARTIN	"Hokensgata 5,"	Stockholm	SE-114 46	SWEDEN	SWE	46.8.6503265	46.8.6400106	46.73319052	Martin Lasson	martin@davidandmartin.com	DAVID & MARTIN		SWEDEN	SWE	EUR	100% before shipment date 	15	0.00%	excluded		*	*	0				excluded	ACC	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1437	100% before delivery	*
continue		DCT	16	16	DE COUTURE	Via Giuseppe Arimondi NÅã3	Roma	00159	ITALY	ITA	39.06.7825460	39.06.78141301		Stefania Montenegro	info@decouture.it	DE/COUTURE SRL	DE/COUTURE SRL	ITALY	ITA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70			0.00%	excluded	BAG	goldie H.P.FRANCE	H.P.FRANCE BOUTIQUE	Kioku				Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1156	30%proforma/70%delivery	*
continue		DW	66	66	Deal&Wire	"1 Regent Studios, 8 Andrews Road"	London	E8 4QN	UNITED KINGDOM	GBR	0207.241.6086		44.(0)7939 718254		dealandwire@hotmail.com	DEAL & WIRE	DEAL & WIRE	UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100			0.00%	excluded	BAG	H.P.FRANCE BIJOUX	Theatre					Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1343	30days after invoice date	*
continue		DELLE	84	84	DELLE COSE	"Via Brioschi, 23"	Milano	20136	ITALY	ITA	39.02.8324.1530	39.02.8942.4467	328 771 8667 	Maki	dellecose@dellecose.com	M&A DELLE COSE S.R.L	M&A DELLE COSE S.R.L	ITALY	ITA	EUR	30% at proforma invoice 70% 30days after shipment date	31	0.00%	excluded	"discount: 50,000-10%/40,000-8%/30,000-6%/under 30,000-3%"	ETD	30	70	100% with main order's payment	16	0.00%	excluded	BAG/SHOES	Showroom						Tomoko Mori	sample05	Tomoko Mori	sample05	tomoko_mori@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	879	"30% proforma/70% 30days end of month after ship date (discount:? 50,000-10%/? 40,000-8%/? 30,000-6%/? 30,000à»â∫-3%)"	with deposit of bulk(with proforma)
continue		DC	18	18	Delphine Charlotte Parmentier	26 Rue du Bourg Tibourg	Paris	75004	FRANCE	FRA	33.(0)1.44.54.51.73	33.(0)1.44.54.05.25	33.(0)6.10.18.99.55	Delphine /Zahia	Zahia.B@dcp-corp.com	S.A.R.L. RAYGENE	S.A.R.L. RAYGENE	FRANCE	FRA	EUR	100% 30days from end of month of shipment 	5	10.00%	excluded		ETD	30	100			0.00%	excluded	ACC	Showroom	Kioku	H.P.FRANCE BOUTIQUE				Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	913	30days end of month after invoice date	against samples kept
*	AW07			2134	DELPHINE WILSON	"19 Bath Street, Port Sunlight"	Liverpool	CH62 4UL	UNITED KINGDOM	GBR	44.151.644.9588	44.151.644.9588		Francesca	delphinewilson@hotmail.co.uk	DELPHINE WILSON Knitwear Ltd	DELPHINE WILSON Knitwear Ltd	UNITED KINGDOM	GBR	GBP	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1335	C.O.D	*
*	SS07			2135	DEVIL'S SKIN	"Via E.Fermi, 52H/G"	Curno(BG)	24035	ITALY	ITA	39.035.4376.536	39.035.462.642		Antonio	p.antonio@guidoangeloni.com or isg@guidoangeloni.com	I.S.G ITALIAN STYLISTIC GROUP	I.S.G ITALIAN STYLISTIC GROUP	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0				excluded	ACC	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1327	"30% on proforma,70% before delivery"	*
continue				2136	DIAMANTINI & DOMENICONI	CP74	Fossombre (PU)	61034	ITALY	ITA	39.0721.716334	39.0721.716547		Maria Sanna	m.sanna@diamantinidomeniconi.it	DIAMANTINI & DOMENICONI	DIAMANTINI & DOMENICONI	ITALY	ITA	EUR	100% at proforma invoice 	14	20.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1199	100% on Proforma	*
*	SS07			2137	DIBBERN	Heinrich-Hertz-Strasse 1	Bargteheide	22933	GERMANY	DEU	49.(0)4532/28 51-70	49.(0)45 32/28 51 55/50	49.(0)171/7 82 46 73	Gudrun	gudrun.hock@dibbern.de	B.T DIBBERN GMBH&CO.KG		GERMANY	DEU	EUR	100% before shipment date 	15	0.00%	excluded		*	*	0				excluded	DECO	HPH						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1385	100% Before delivery	*
*	SS07			2138	DICE KAYEK	23 Rue du Mail	Paris	75002	FRANCE	FRA	33.(0)1.40.26.37.68	33.(0)1.40.26.37.57		Julien	dice@noos.fr	DICE S.A.	DICE S.A.	FRANCE	FRA	EUR	L/C 	51	3.00%	excluded		ETA	15	100				excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1113	L/C 10days	*
continue		MSL	264	264	Mosslight Dictionary	202 PRIMROSE 6-11 SARUGAKUCHO SHIBUYA-KU	Tokyo	150-0033	JAPAN	JPN	81.(0)3.6808.9513	81.(0)3.6808.4165		Yasutaka Tomita		"MOSSLIGHT CO., LTD"	"MOSSLIGHT CO., LTD"	JAPAN	JPN	JPY	100% 30days from end of month of shipment 	5	0.00%	excluded		ETD	30	100			0.00%	excluded	ACC	H.P.FRANCE BIJOUX						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1494	30days end of month from invoice date	*
*	SS08			2020	DK CREATION				MADAGASCAR	MDG				Dominique	dkcreation@netclub.mg			MADAGASCAR	MDG	EUR			0.00%	excluded								excluded	ACC	Kioku						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1431		*
continue				2139	DK HOME	"Prinsengracht 87,"	Ameide	4233 EV	NETHERLANDS	NLD	31 183 600 111	31 183 600 112			info@dkhome.com	DK HOME B.V		NETHERLANDS	NLD	EUR	25% at proforma invoice 75% before shipment date	21	0.00%	excluded		*	*	0				excluded	DECO	HPH						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1322	25% proforma 75% before delivery	*
continue		LAX	799	620	DOMA	Acuna de Figueroa 1042	Buenos Aires	C1180AAT	ARGENTINA	ARG	54.11.4866.3716	54.11.466.3714		Pablo		DOMA LEATHER		ARGENTINA	ARG	JPY			0.00%	excluded								excluded		Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1462		*
continue				2140	DOMINIQUE DUBIEN	26 Avenue Youri Gagarine	Vitry/Seine	94400	FRANCE	FRA		01.43.91.36.52	06.81.14.46.42	Dominique Dubien		Dominique Dubien		FRANCE	FRA	EUR	100% before shipment date 	15	0.00%	excluded		*	*	0			0.00%	excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1079	BEFORE DELIVERY	*
continue		DR	275	275	DRAGON ROSE	2-31-18 Wakabayashi Setagaya-ku	Tokyo	154-0023	JAPAN	JPN	+81 (0)3 3795 1282	+81 (0)3 3795 1282		Mrs. Yuko Kawai		YUKO	YUKO	JAPAN	JPN	JPY	100% 30days from end of month of shipment 	5	0.00%	excluded		ETD	30	100				excluded	ACC	H.P.FRANCE BIJOUX						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1541	30days end of month after invoice date	*
*	SS07	EAR	741	741	EARNEST SEWN	"71 Gansevoort Street, 3rd floor"	New York	NY 10014	UNITED STATES	USA	212-675-0553	212-675-4308				Earnest Sewn		UNITED STATES	USA	USD	100% 7days before shipment date 	10	8.00%	excluded		*	*	0				excluded	RTW	Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	850	1Week before shiment date	*
*	SS07			2141	EDEA	25 rue Montbrum	Paris	75014	FRANCE	FRA	33.(0)6.60.80.00.33			Dauphine	dauphine@edea.fr	SUDS SRL		FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70				excluded	DECO	HPH						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1386	"30% at order, 70% at delivery"	*
continue				2021	EDGAR LE MARCHAND D'ART	6 Rue de la Vrielliere	Paris	75001	FRANCE	FRA	33.(0)1.42.60.79.81	33.(0)1.42.96.42.08		Cecile Dufay		GALERIE DUFAY RICHARD	EDGAR LE MARCHAND D'ART	FRANCE	FRA	EUR	100% at proforma invoice 	14	5.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1080	100% on Proforma	*
*	SS08			2022	EDITH & LUCIE BIJOUX	"Via Segantini, 71, 20143 Milano,"	Milano	20143	ITALY	ITA	39.347.9722581	39.02.8373358		Catherine	cathfaity@hotmail.com	EDITH & LUCIE	CATHRINE FAITY Edith&Lucie	ITALY	ITA	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	ACC	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1029	100% after delivery	*
continue				2142	ELAM	43 Rue de la Rochefoucauld	Paris	75009	FRANCE	FRA	33.(0)1.45.96.01.08	33.(0)1.45.96.00.20		Nicolas Nilsson	elam@noos.fr			FRANCE	FRA	EUR	100% at proforma invoice 	14	0.00%	excluded		*	*	0				excluded	DECO	HPH						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1321	100% on proforma	*
continue		HPBQ	261	3006	Eleanor Ford	88 Harlech Gardens	Midlesex	TW5 9PS	UNITED KINGDOM	GBR	44 20 8123 0838			Eleanor Ford	eleanor@eleanorford.com	Eleanor Ford		UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100				excluded	ACC	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1515	100% 30days after Invoice date	*
*	SS07			2023	ELISA NERO	"Via Angi, Strada dei Cento Anni,7"	Stra(VE)	30039	ITALY	ITA	39.049.9801703	39.049.9802656		Roxanna	elisanero@elisanero.com	EURASIA SRL	EURASIA SRL	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	3.00%	excluded		*	*	0				excluded	SHOES	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1326	"30% on proforma,70% before delivery"	*
continue		ECL	109	109	EMILIO CAVALLINI	"Via A.Volta, 13/15"	S.MINATO BASSO (PI)	56028	ITALY	ITA	+39 0571 400827 / 8	+39 0571 400801		Federico Guazzini / Bianca Cavallini	federico@stilnovo.it / bianca@stilnovo.it	STILNOVO S.P.A	STILNOVO S.P.A	ITALY	ITA	EUR	100% before shipment date 	15	0.00%	excluded		*	*	0				excluded	TIGHTS	goldie H.P.FRANCE	Theatre					Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1540	100% BEFORE DELIVERY	*
continue		EC	299	299	EMMA CASSI	"#48a White Hart Lane, Barnes"	London	SW13 0PZ	UNITED KINGDOM	GBR	44.(0)20.8487.2836			Emma	info@EmmaCassi.com	EMMA CASSI	EMMA CASSI	UNITED KINGDOM	GBR	GBP	100% after receiving goods 	12	0.00%	excluded		î¿ì¸ì˙	10	100	100% with main order's payment	16	0.00%	excluded	ACC	goldie H.P.FRANCE						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	819	receiving goods in japan	with main order
continue		EM	68	68	Emma Hopes Shoes	14-16 St Marks Road	London	W11 1RQ	UNITED KINGDOM	GBR	020 7792 7800	020 7792 5351		Kyoko Satoh	kyoko@emmahope.co.uk	EMMA HOPE 'S SHOES	OTS S.P.A.	ITALY	ITA	GBP	100% 30days after shipment date 	7	0.00%	excluded		ETD	30	100				excluded	SHOES	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	980	100% 30days after Invoice date	*
continue				2107	EN FILS D'INDIENNE	56 Rue Henri Barbusse	Meudon	92190	FRANCE	FRA	33.(0)1.45 34 15 02	33.(0)1.45 34 17 67		Geraldine/Fabrice Cottet	contact@enfildindienne.fr	ORIENT STYLE S.A.R.L.	EN FILS D'INDIENNE	FRANCE	FRA	EUR	30% at proforma invoice 70% 30days after shipment date	31	5.00%	excluded		ETD	30	70				excluded	FABRIC	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1081	"30% on proforma, 70% 30 days after delivery"	*
continue				2024	EPICE	"75, Rue De Turenne"	Paris	75003	FRANCE	FRA	33.1.44.54.01.50	33.1.44.54.01.60		BIRGITT	administratifÅóepicedesign.com	EPICE	EPICE	FRANCE	FRA	EUR	30% at proforma invoice 70% before shipment date	37	3.00%	excluded		*	*	0	100% with main order's payment	16	3.00%	excluded	STOLE	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1531	"30% on proforma, 70% before delivery"	paid with main order's payment
continue				2108	ERIC ET LYDIE	31 Rue du Fg st Leonard	Nesle	80190	FRANCE	FRA	33.(0)3.22.88.39.75	33.(0)3.22.88.39.21		Eric / Lydie	ericetlydie@free.fr	ERIC ET LYDIE	ERIC ET LYDIE	FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70				excluded	ACC	Usagi Pour Toi						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1270	30% Deposit /70% After delivery	*
continue		ET	566	566	Erika Tanov	"1627, ST.PABLO AVE."	BERKLEY	CA 94702	UNITED STATES	USA	510 524 1762	510 524 5904		TRACI IKEGAMI	traci@ericatanov.com	ERICA TANOV INC.	ERICA TANOV INC.	UNITED STATES	USA	USD	30% at proforma invoice 70% 20days after receiving goods	28	0.00%	excluded		î¿ì¸ì˙	20	70				excluded	RTW	H.P.FRANCE exclusive						exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1430	30% on confirmation 70% 20 days after reseiving goods	*
*	SS08	EI	777	777	Erika Ikejiri	"Rua Prof.Dario Ribeiro, 58 Bairro Vila Prado, Sao Paulo -SP CEP 02559-000"	San Paolo		BRAZIL	BRA	55.11.3965.6487			Erika Ikezili	erikaikezili@erikaikezili.com.br	ERICA PATRICIA TIE IWASAKI-ME	ERICA PATRICIA TIE IWASAKI-ME	BRAZIL	BRA	USD	30% at proforma invoice 70% 45days after shipment date	32	10.00%	excluded		ETD	45	70				excluded	RTW	H.P.FRANCE exclusive	Wut	Destination NY				exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1342	30% on proforma 70% 45days after invoice date	*
continue		ERVA	172	172	ERVA	"Pere IV 29-35 Atico, 5a"	Barcelona	08018	SPAIN	ESP	34.93.3568815	34.93.3568487		Eva	erva@erva-design.com	ERVA DESIGNS S.L.	ERVA DESIGNS S.L.	SPAIN	ESP	EUR	30% at proforma invoice 70% 30days after shipment date	31	5.00%	excluded		ETD	30	70	100% 30days after shipment date 	7		excluded	BAG	Showroom						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	820	30% proforma/70% 30days after invoice date	30days after invoice date
*	AW07			2143	ESTELLE YOMEDA	19 Rue de Rockroy	Paris	75010	FRANCE	FRA	33.(0)1.42.85.57.08	33.(0)1.42.85.51.08	33.(0)6.12.77.40.84	Estelle	office@estelleyomeda.com	SARL WOGBA YOMEDA		FRANCE	FRA	EUR	30% at proforma invoice 70% 15days after shipment date	27	0.00%	excluded		ETD	15	70				excluded	SHOES	Lamp						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1382	"30%deposit,70% 15days after delivery date"	*
continue				561	ESTHER PERBANDT	"Schwedenstr. 9, aufgang A"	Berlin	13359	GERMANY	DEU	49.(0)179.2921287	49.(0)30.44674512	49.(0)179.2921287	Esther	mail@estherperbandt.com	ESTHER PERBANDT	ESTHER PERBANDT	GERMANY	DEU	EUR	30% at proforma invoice 70% after shipment date	36	13.00%	excluded		ETD	10	70				excluded	RTW	WUT						Yann Le Goec	sample06	Yann Le Goec	sample06	yann_le_goec@hpgrp.com	H.P.FRANCE S.A.	+81 3 5489 0771	+81 3 5489 0772	1204	30% at conf/70% aft delivery	*
continue				2144	ESTUDIO MANUS	"Rua Girassol, 310  Vila Madalena, San Paulo"	San Paolo		BRAZIL	BRA	55.11.3032.0679				estudiomanus@hotmail.com	ESTUDIO MANUS	ESTUDIO MANUS	BRAZIL	BRA	USD	100% after receiving goods 	12	0.00%	excluded		î¿ì¸ì˙	10	100				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1182	when delivery arrived in Japan	*
continue				2145	ETNIKBAZAR	231 Rue St Honore	Paris	75001	FRANCE	FRA	33.(0)6.08.16.46.50	33.(0)1.53.70.88.37			etnikbazar@aol.com	Etnikbazar		FRANCE	FRA	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100			0.00%	excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1082	PAID BY HP PARIS	*
continue				2146	ETOILE DU SUD	44 Rue des Narcisses	La Marsa	2070	TUNISIA	TUN	216 71 77 47 64	216 71 77 63 52		Mme Khaled	etoile.sud@gnet.tn	ETOILE DU SUD	ETOILE DU SUD	TUNISIA	TUN	EUR	100% at proforma invoice 	14	3.00%	excluded		*	*	0				excluded	FABRIC	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1183	100% on Proforma	*
*	SS07			2147	F.Q.R	Salita De Crescenzi 30	Roma	00186	ITALY	ITA	39.06.68134698	39.06.68139698		Marco	marcoscotti@fqr.it	MF2 SRL		ITALY	ITA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70				excluded	RTW	HPH						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1387	"30% on proforma, 70% after delivery"	*
continue		FS	116	116	FALIERO SARTI	Via Vittorio Alfieri 88	Campi Bisenzio Firenze	50013	ITALY	ITA	39.055.8966250	39.055.890604		Mr.Federico	federico.sarti@falierosarti.com	L'ACCESSORIO SRL	L'ACCESSORIO SRL	ITALY	ITA	EUR	100% 30days after shipment date 	7	5.00%	excluded		ETD	30	100	100% 30days after shipment date 	7	0.00%	excluded	STOLE	Showroom	Concento					Tomoko Mori	sample05	Tomoko Mori	sample05	tomoko_mori@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	981	30days after invoice date	30days after invoice date(+15% sample charge)
continue				2025	FANNI CHAMBAS	9 Rue Duhesme 75018 Paris	Paris	75018	FRANCE	FRA	33.(0)1.42.62.02.53				f-chambas@hotmail.com	FANNI CHAMBAS		FRANCE	FRA	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1488	100% after delivery	*
continue		FESS	155	155	Fessura	"Viale F. Cavallotti, 74/78"	MONTEGRANARO (AP)	63014	ITALY	ITA	+39 0734 893535	+39 0734 898043		Cristina	fessura@fessura.com	A.K.A. Advanced Kit Art S.R.L.	A.K.A. Advanced Kit Art S.R.L.	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0				excluded	SHOES	goldie H.P.FRANCE						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1542	30% At Proforma/70% Before Delivery	*
